Column1,DEF,FWD,GK,MID,element_type,now_cost,team,total_points,Arsenal,Aston Villa,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Leeds,Leicester,Liverpool,Man City,Man Utd,Newcastle,Norwich,Southampton,Spurs,Watford,West Ham,Wolves,Starting 11
Curtis Jones,0,0,0,1,MID,50,Liverpool,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Cédric Soares,1,0,0,0,DEF,42,Arsenal,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
César Azpilicueta,1,0,0,0,DEF,56,Chelsea,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dale Stephens,0,0,0,1,MID,44,Burnley,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dan Burn,1,0,0,0,DEF,44,Newcastle,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Dan Gosling,0,0,0,1,MID,47,Watford,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Dane Scarlett,0,1,0,0,FWD,45,Spurs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Daniel Amartey,1,0,0,0,DEF,40,Leicester,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Daniel Bachmann,0,0,1,0,GK,40,Watford,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Daniel Castelo Podence,0,0,0,1,MID,55,Wolves,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Daniel Chesters,0,0,0,1,MID,45,West Ham,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0
Daniel James,0,0,0,1,MID,60,Leeds,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Daniel N'Lundulu,0,1,0,0,FWD,45,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0
Danny Ings,0,1,0,0,FWD,77,Aston Villa,106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Danny Rose,1,0,0,0,DEF,42,Watford,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
